school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Muhda Primary School,AD,Primary,Public,,,10.190825,13.240736,ADSGYL07,"Muhda Primary School, AD State, Nigeria"
Dakau Primary School,AD,Primary,Public,,,8.177709,11.970765,ADSTNG05,"Dakau Primary School, AD State, Nigeria"
Bulma Primary School,AD,Primary,Public,,,10.214025,13.357728,ADSGYL08,"Bulma Primary School, AD State, Nigeria"
Limawa Primary School,AD,Primary,Public,,,9.285299,12.4615543,ADSYLN07,"Limawa Primary School, AD State, Nigeria"
Zobodo Primary School Bafyau I,AD,Primary,Public,,,9.59515,11.84824,ADSLMR01,"Zobodo Primary School Bafyau I, AD State, Nigeria"
Morro Primary School,AD,Primary,Public,,,9.505706,12.274894,ADSDSA02,"Morro Primary School, AD State, Nigeria"
Kanjang Primary School,AD,Primary,Public,,,9.001957,11.92599,ADSMWA12,"Kanjang Primary School, AD State, Nigeria"
Hamalaire Primary School,AD,Primary,Public,,,8.88533,12.229074,ADSFUR06,"Hamalaire Primary School, AD State, Nigeria"
St Thomas Nursery and Primary School,AD,Primary,Faith Based,,,10.2644,13.28878,ADSGYL04,"St Thomas Nursery and Primary School, AD State, Nigeria"
Bakuru Kindam Primary School,AD,Primary,Public,,,9.348547,12.105272,ADSDSA06,"Bakuru Kindam Primary School, AD State, Nigeria"
Didango Primary School Didango,AD,Primary,Public,,,9.744506,12.608643,ADSSNG08,"Didango Primary School Didango, AD State, Nigeria"
Malkohi Prmary School,AD,Primary,Public,,,9.189686,12.375547,ADSYLA08,"Malkohi Prmary School, AD State, Nigeria"
Fadama Reke Primary School,AD,Primary,Public,,,10.228943,12.972699,ADSHNG01,"Fadama Reke Primary School, AD State, Nigeria"
Labbare Primary School,AD,Primary,Public,,,9.119771,12.056478,ADSMWA10,"Labbare Primary School, AD State, Nigeria"
Gang Subeni Primary School,AD,Primary,Public,,,8.6508437,11.780962,ADSMWA03,"Gang Subeni Primary School, AD State, Nigeria"
Delengi Primary School,AD,Primary,Public,,,8.6760645,12.588981,ADSJAD04,"Delengi Primary School, AD State, Nigeria"
Sampa Primary School,AD,Primary,Public,,,8.66625,12.504659,ADSJAD07,"Sampa Primary School, AD State, Nigeria"
Rico Primary School,AD,Primary,Public,,,9.3131897,12.769862,ADSFUR08,"Rico Primary School, AD State, Nigeria"
Golantaba Primary School,AD,Primary,Public,,,10.030255,12.66185,ADSSNG06,"Golantaba Primary School, AD State, Nigeria"
Haske Baptist Nursery,AD,Primary,Private,,,9.210912,12.470463,ADSYLA05,"Haske Baptist Nursery, AD State, Nigeria"
Hursaa Primary School,AD,Primary,Public,,,10.034278,12.346278,ADSGMB02,"Hursaa Primary School, AD State, Nigeria"
Chikito Primary School,AD,Primary,Public,,,9.245174,12.868807,ADSFUR04,"Chikito Primary School, AD State, Nigeria"
Bengo Primary School,AD,Primary,Public,,,9.4132463,12.7235213,ADSFUR07,"Bengo Primary School, AD State, Nigeria"
Kwallia Primary School Kwalia,AD,Primary,Public,,,10.67383,13.37065,ADSMCH13,"Kwallia Primary School Kwalia, AD State, Nigeria"
Mutunku Primary School,AD,Primary,Public,,,10.3156216,12.9711811,ADSHNG01,"Mutunku Primary School, AD State, Nigeria"
M Gari Primary School,AD,Primary,Public,,,9.99958,13.213119,ADSMAH04,"M Gari Primary School, AD State, Nigeria"
Ardo H Tukur Primary School,AD,Primary,Public,,,9.221551,12.650181,ADSFUR03,"Ardo H Tukur Primary School, AD State, Nigeria"
Alajire Primary School,AD,Primary,Public,,,9.187156,12.704183,ADSFUR01,"Alajire Primary School, AD State, Nigeria"
Police Children School,AD,Primary,Public,,,9.2575757,12.4540046,ADSYLN06,"Police Children School, AD State, Nigeria"
Pola Takko Primary School,AD,Primary,Public,,,8.662686,11.887755,ADSMWA03,"Pola Takko Primary School, AD State, Nigeria"
Atiku Abubakar Islamiya Primary School,AD,Primary,Private,,,8.577732,12.379826,ADSJAD11,"Atiku Abubakar Islamiya Primary School, AD State, Nigeria"
Sukul Settlement Primary School,AD,Primary,Public,,,10.876266,13.608678,ADSMDG01,"Sukul Settlement Primary School, AD State, Nigeria"
Kamsu Primary School,AD,Primary,Public,,,10.288872,12.375595,ADSGMB04,"Kamsu Primary School, AD State, Nigeria"
Lutheran Church of Christ Nigeria Nursery and Primary School,AD,Primary,Private,,,10.156694,12.736262,ADSGMB07,"Lutheran Church of Christ Nigeria Nursery and Primary School, AD State, Nigeria"
Modibbo Lawal Nursery Primary School Giret,AD,Primary,Public,,,9.36227,12.54169,ADSGRE04,"Modibbo Lawal Nursery Primary School Giret, AD State, Nigeria"
Unity Primary School,AD,Primary,Public,,,10.163709,12.737877,ADSGMB06,"Unity Primary School, AD State, Nigeria"
Sammeri Primary School,AD,Primary,Public,,,8.42954,11.951722,ADSGAN05,"Sammeri Primary School, AD State, Nigeria"
Amdur Primary School,AD,Primary,Public,,,10.079255,12.545916,ADSGMB03,"Amdur Primary School, AD State, Nigeria"
Kalajanga Primary School,AD,Primary,Public,,,9.240068,12.208695,ADSMWA09,"Kalajanga Primary School, AD State, Nigeria"
